id,title,genres,overview
1,The Shawshank Redemption,Drama,Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency.
2,The Godfather,Drama Crime,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
3,The Dark Knight,Action Crime Drama,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.
4,Pulp Fiction,Thriller Crime,A burger-loving hit man his philosophical partner a drug-addled gangster's moll and a washed-up boxer converge in four tales of violence and redemption.
5,Inception,Action Adventure Sci-Fi,Cobb a skilled thief who steals valuable secrets from deep within the subconscious during the dream state is offered a chance at redemption if he can perform an inception.
6,Interstellar,Adventure Drama Sci-Fi,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.
7,The Matrix,Action Sci-Fi,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
8,The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy,Young hobbit Frodo Baggins after inheriting a mysterious ring from his uncle Bilbo must leave his home of the Shire in order to destroy it in the fires of Mount Doom.
9,Forrest Gump,Comedy Drama Romance,A man with a low IQ has accomplished great things in his life and been present during significant historical events.
10,Gladiator,Action Adventure Drama,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
11,Avengers: Endgame,Action Adventure Sci-Fi,After the devastating events of Avengers: Infinity War the universe is in ruins. With the help of remaining allies the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.
12,The Lion King,Animation Adventure Drama,A young lion prince is cast out of his pride by his cruel uncle who claims he killed his father. While the uncle rules with an iron paw the prince grows up beyond the Savannah living by a philosophy: No worries for the rest of your days.
13,Star Wars,Action Adventure Sci-Fi,Luke Skywalker joins forces with a Jedi Knight a cocky pilot a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station while also attempting to rescue Princess Leia from the mysterious Darth Vader.
14,Titanic,Drama Romance,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious ill-fated R.M.S. Titanic.
15,Joker,Crime Drama Thriller,In Gotham City mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.
